-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 01/01/2010 through 07/08/2021 ,,,,,
Location: Latitude  10.7726   Longitude 106.7042 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 25.1 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT
10.77261,106.70421,2011,6,9,25.6
10.77261,106.70421,2011,6,10,11.72
10.77261,106.70421,2011,6,11,41.4
10.77261,106.70421,2011,6,12,13.68
10.77261,106.70421,2011,6,13,12.28
10.77261,106.70421,2011,6,14,14.72
10.77261,106.70421,2011,6,15,30.08
10.77261,106.70421,2011,6,16,39.28
10.77261,106.70421,2011,6,17,36.68
10.77261,106.70421,2011,6,18,68.28
10.77261,106.70421,2011,6,19,48.92
10.77261,106.70421,2011,6,20,16.4
10.77261,106.70421,2011,6,21,38.68
10.77261,106.70421,2011,6,22,24.96
10.77261,106.70421,2011,6,23,8.64
10.77261,106.70421,2011,6,24,1
10.77261,106.70421,2011,6,25,1.24
10.77261,106.70421,2011,6,26,22.16
10.77261,106.70421,2011,6,27,42.28
10.77261,106.70421,2011,6,28,7.16
10.77261,106.70421,2011,6,29,45.12
10.77261,106.70421,2011,6,30,82.48
10.77261,106.70421,2011,7,1,7.2
10.77261,106.70421,2011,7,2,15.64
10.77261,106.70421,2011,7,3,3.92
10.77261,106.70421,2011,7,4,29.84
10.77261,106.70421,2011,7,5,9
10.77261,106.70421,2011,7,6,77.44
10.77261,106.70421,2011,7,7,34.64
10.77261,106.70421,2011,7,8,6.96
10.77261,106.70421,2011,7,9,41.4
10.77261,106.70421,2011,7,10,36.68
10.77261,106.70421,2011,7,11,11
10.77261,106.70421,2011,7,12,42.52
10.77261,106.70421,2011,7,13,36.76
10.77261,106.70421,2011,7,14,38.44
10.77261,106.70421,2011,7,15,8.96
10.77261,106.70421,2011,7,16,1
10.77261,106.70421,2011,7,17,12
10.77261,106.70421,2011,7,18,1.32
10.77261,106.70421,2011,7,19,2.8
10.77261,106.70421,2011,7,20,14.76
10.77261,106.70421,2011,7,21,0.76
10.77261,106.70421,2011,7,22,6.88
10.77261,106.70421,2011,7,23,19.16
10.77261,106.70421,2011,7,24,23.28
10.77261,106.70421,2011,7,25,23.84
10.77261,106.70421,2011,7,26,19.36
10.77261,106.70421,2011,7,27,27.52
10.77261,106.70421,2011,7,28,38.92
10.77261,106.70421,2011,7,29,58.08
10.77261,106.70421,2011,7,30,37.48
10.77261,106.70421,2011,7,31,48.48
10.77261,106.70421,2011,8,1,3.32
10.77261,106.70421,2011,8,2,2.6
10.77261,106.70421,2011,8,3,0.28
10.77261,106.70421,2011,8,4,0.24
10.77261,106.70421,2011,8,5,2.84
10.77261,106.70421,2011,8,6,17.88
10.77261,106.70421,2011,8,7,8.8
10.77261,106.70421,2011,8,8,28.76
10.77261,106.70421,2011,8,9,22.36
10.77261,106.70421,2011,8,10,4.84
10.77261,106.70421,2011,8,11,1.16
10.77261,106.70421,2011,8,12,6.68
10.77261,106.70421,2011,8,13,72.8
10.77261,106.70421,2011,8,14,27.12
10.77261,106.70421,2011,8,15,40.48
10.77261,106.70421,2011,8,16,23.64
10.77261,106.70421,2011,8,17,70.32
10.77261,106.70421,2011,8,18,3.16
